batch_start,batch_end,records,latency_seconds,throughput_records_per_second,detected_attacks
53000,54000,1000,0.04337120056152344,23056.774704252606,999
54000,55000,1000,0.03997302055358887,25016.873534972772,1000
55000,56000,1000,0.04224967956542969,23668.818563496006,1000
56000,57000,1000,0.041817665100097656,23913.338958699173,998
57000,58000,1000,0.041237592697143555,24249.71814781196,999
58000,59000,1000,0.04083061218261719,24491.42803755781,1000
59000,60000,1000,0.04221796989440918,23686.596075109417,1000
60000,61000,1000,0.041341543197631836,24188.74387972249,999
61000,62000,1000,0.04212236404418945,23740.357947405955,999
62000,63000,1000,0.041205406188964844,24268.660170805655,999
63000,64000,1000,0.05297660827636719,18876.255625562557,999
64000,65000,1000,0.047417402267456055,21089.30376150802,1000
65000,66000,1000,0.04109048843383789,24336.532324509997,998
66000,67000,1000,0.04119753837585449,24273.294944876878,999
67000,68000,1000,0.04021048545837402,24869.135216862825,998
68000,69000,1000,0.04939126968383789,20246.493082708217,1000
69000,70000,1000,0.03807997703552246,26260.520038317296,999
70000,71000,1000,0.071502685546875,13985.488689714042,1000
71000,72000,1000,0.041156768798828125,24297.339883214387,1000
72000,73000,1000,0.04198098182678223,23820.309970979266,999
73000,74000,1000,0.03998994827270508,25006.283908662732,998
74000,75000,1000,0.04371786117553711,22873.946096877284,1000
75000,76000,1000,0.0416412353515625,24014.657383657017,999
76000,77000,1000,0.04123353958129883,24252.10181212633,1000
77000,78000,1000,0.04509854316711426,22173.66526218961,997
78000,79000,1000,0.039894819259643555,25065.911277647298,999
79000,80000,1000,0.04391121864318848,22773.223583835115,998
80000,81000,1000,0.04107189178466797,24347.551489539554,1000
81000,82000,1000,0.041799068450927734,23923.978142575204,1000
82000,83000,1000,0.04216122627258301,23718.47520598065,999
83000,84000,1000,0.04136204719543457,24176.753033403464,999
84000,85000,1000,0.04169201850891113,23985.40621836918,998
85000,86000,1000,0.05518031120300293,18122.40594876492,998
86000,87000,1000,0.045783281326293945,21842.034276072885,1000
87000,88000,1000,0.04142284393310547,24141.268562219408,1000
88000,89000,1000,0.04218292236328125,23706.275999276542,1000
89000,90000,1000,0.041712045669555664,23973.89013049219,1000
90000,91000,1000,0.04381823539733887,22821.5488581891,999
91000,92000,1000,0.044725656509399414,22358.531501708487,999
92000,93000,1000,0.04102015495300293,24378.259934554288,999
93000,94000,1000,0.04097628593444824,24404.359184718414,998
94000,95000,1000,0.07354903221130371,13596.371970293723,999
95000,96000,1000,0.03990578651428223,25059.022446333725,999
96000,97000,1000,0.04147458076477051,24111.153905850297,1000
97000,98000,1000,0.04296612739562988,23274.147813975684,999
98000,99000,1000,0.04266524314880371,23438.281987806717,999
99000,100000,1000,0.04055666923522949,24656.85715461445,1000
100000,101000,1000,0.042681217193603516,23429.509881687874,999
101000,102000,1000,0.04186439514160156,23886.646316460887,1000
102000,103000,1000,0.042055368423461914,23778.17713854858,999
103000,104000,1000,0.04580545425415039,21831.461258991683,1000
104000,105000,1000,0.04122352600097656,24257.99287465877,999
105000,106000,1000,0.04238581657409668,23592.797799515127,1000
106000,107000,1000,0.04282093048095703,23353.06563328211,1000
107000,108000,1000,0.05084824562072754,19666.36189297286,1000
108000,109000,1000,0.04973602294921875,20106.151250191746,1000
109000,110000,1000,0.04285693168640137,23333.448304636866,998
110000,111000,1000,0.04076385498046875,24531.53658993075,1000
111000,112000,1000,0.04085707664489746,24475.564140120325,999
112000,113000,1000,0.04264020919799805,23452.04253939143,1000
113000,114000,1000,0.042105674743652344,23749.76784217798,999
114000,115000,1000,0.04332852363586426,23079.484738600033,1000
115000,116000,1000,0.04135608673095703,24180.237518736307,999
116000,117000,1000,0.04283928871154785,23343.057974966745,999
117000,118000,1000,0.041719675064086914,23969.505957653513,1000
118000,119000,1000,0.03949689865112305,25318.443577887505,999
119000,120000,1000,0.044239044189453125,22604.46667241528,998
120000,121000,1000,0.04216122627258301,23718.47520598065,998
121000,122000,1000,0.042734384536743164,23400.36040861187,1000
122000,123000,1000,0.04131364822387695,24205.076118696692,999
123000,124000,1000,0.04183363914489746,23904.207724705495,999
124000,125000,1000,0.04264235496520996,23450.862430460427,999
